top - 09:29:34 up 15 min,  1 user,  load average: 0.05, 0.12, 0.18
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  6.1 sy,  0.0 ni, 81.8 id, 12.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,   1010.4 free,   1257.8 used,   1880.8 buff/cache     
MiB Swap:   3771.0 total,   3771.0 free,      0.0 used.   2609.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    212 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    213 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    214 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    215 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    219 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    221 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    224 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    225 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    226 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    227 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    231 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    233 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    234 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    235 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    236 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    237 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    238 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    239 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    240 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    241 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    242 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    243 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    245 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    246 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    247 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    248 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    249 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    250 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    273 root      20   0       0      0      0 I   0.0   0.0   0:00.64 kworker+
    274 root      20   0       0      0      0 I   0.0   0.0   0:00.55 kworker+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.31 kworker+
    322 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    324 root      20   0       0      0      0 S   0.0   0.0   0:04.37 jbd2/sd+
    325 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    373 root      19  -1   67108  17964  16556 S   0.0   0.5   0:00.73 systemd+
    420 root      20   0   32576  10616   4984 S   0.0   0.3   0:00.36 systemd+
    458 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    478 root      20   0       0      0      0 I   0.0   0.0   0:01.28 kworker+
    508 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
    563 systemd+  20   0   17560   7696   6800 S   0.0   0.2   0:00.53 systemd+
    570 systemd+  20   0   21584  13224  10920 S   0.0   0.3   0:00.19 systemd+
    574 systemd+  20   0   91048   7836   6940 S   0.0   0.2   0:00.07 systemd+
    664 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
    666 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
    667 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
    673 root     -51   0       0      0      0 S   0.0   0.0   0:00.43 irq/16-+
    674 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    685 avahi     20   0    8672   4464   4080 S   0.0   0.1   0:00.10 avahi-d+
    686 message+  20   0   12100   6984   4552 S   0.0   0.2   0:00.68 dbus-da+
    690 gnome-r+  20   0  512808  16452  14020 S   0.0   0.4   0:00.10 gnome-r+
    697 polkitd   20   0  390368  11868   8224 S   0.0   0.3   0:00.39 polkitd
    698 root      20   0  313524   7548   6780 S   0.0   0.2   0:00.06 power-p+
    714 root      20   0 1997364  41944  25384 S   0.0   1.1   0:10.70 snapd
    722 root      20   0  313292   7800   7032 S   0.0   0.2   0:00.17 account+
    726 root      20   0    9424   2856   2728 S   0.0   0.1   0:00.02 cron
    728 root      20   0  309860   6832   6192 S   0.0   0.2   0:00.13 switche+
    743 root      20   0   18172   8988   7964 S   0.0   0.2   0:00.18 systemd+
    752 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    755 root      20   0  543188  14336  11648 S   0.0   0.4   0:00.27 udisksd
    804 syslog    20   0  222564   6364   4572 S   0.0   0.2   0:00.14 rsyslogd
    807 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
    832 avahi     20   0    8480   1488   1216 S   0.0   0.0   0:00.00 avahi-d+
    838 root      20   0  336444  19100  16284 S   0.0   0.5   0:00.32 Network+
    840 root      20   0   17380   6416   5648 S   0.0   0.2   0:00.06 wpa_sup+
    872 root      20   0  318360  12532  10484 S   0.0   0.3   0:00.18 ModemMa+
   1259 root      20   0  112244  23152  13808 S   0.0   0.6   0:00.09 unatten+
   1284 kernoops  20   0   12744   2252   1836 S   0.0   0.1   0:00.00 kernelo+
   1285 root      20   0  314820   9348   8324 S   0.0   0.2   0:00.04 gdm3
   1294 kernoops  20   0   12744   2180   1792 S   0.0   0.1   0:00.00 kernelo+
   1302 root      20   0  242264  10000   8848 S   0.0   0.3   0:00.04 gdm-ses+
   1317 dev-onb+  20   0   21532  12660   9468 S   0.0   0.3   0:01.36 systemd
   1318 dev-onb+  20   0   21460   3652   1836 S   0.0   0.1   0:00.00 (sd-pam)
   1327 dev-onb+   9 -11  119800  18056   8968 S   0.0   0.5   0:10.22 pipewire
   1328 dev-onb+  20   0   97736   5884   5116 S   0.0   0.1   0:00.03 pipewire
   1331 dev-onb+   9 -11  406788  18696  13832 S   0.0   0.5   0:00.81 wireplu+
   1332 dev-onb+   9 -11  119184  15296   9544 S   0.0   0.4   0:00.22 pipewir+
   1337 dev-onb+  20   0  316508   9872   8848 S   0.0   0.2   0:00.11 gnome-k+
   1338 dev-onb+  20   0   10944   6656   4668 S   0.0   0.2   0:00.72 dbus-da+
   1351 rtkit     21   1   22940   3616   3360 S   0.0   0.1   0:00.05 rtkit-d+
   1357 dev-onb+  20   0  235668   6100   5716 S   0.0   0.2   0:00.01 gdm-way+
   1377 dev-onb+  20   0  298236  16624  14704 S   0.0   0.4   0:00.06 gnome-s+
   1378 dev-onb+  20   0  610292   7324   6684 S   0.0   0.2   0:00.08 xdg-doc+
   1406 dev-onb+  20   0  309308   6140   5756 S   0.0   0.2   0:00.02 xdg-per+
   1422 root      20   0    2704   1884   1884 S   0.0   0.0   0:00.00 fusermo+
   1444 dev-onb+  20   0  162652   6624   6112 S   0.0   0.2   0:00.02 gcr-ssh+
   1445 dev-onb+  20   0   91548   5740   5356 S   0.0   0.1   0:00.01 gnome-s+
   1459 dev-onb+  20   0  314280   7848   7080 S   0.0   0.2   0:00.05 gvfsd
   1467 dev-onb+  20   0  459708   7184   6416 S   0.0   0.2   0:00.01 gvfsd-f+
   1469 dev-onb+  20   0  594220  18284  15724 S   0.0   0.5   0:00.19 gnome-s+
   1517 dev-onb+  20   0 3876564 280768 124964 S   0.0   7.1   0:21.94 gnome-s+
   1523 dev-onb+  20   0  382936   7816   7176 S   0.0   0.2   0:00.01 at-spi-+
   1540 dev-onb+  20   0    9480   5180   4668 S   0.0   0.1   0:00.02 dbus-da+
   1598 dev-onb+  20   0  236068   7744   7104 S   0.0   0.2   0:00.00 at-spi2+
   1599 colord    20   0  320056  14388   9780 S   0.0   0.4   0:00.12 colord
   1634 dev-onb+  20   0  655924  22052  18360 S   0.0   0.6   0:00.07 gnome-s+
   1642 dev-onb+  20   0  666484  42768  34576 S   0.0   1.1   0:00.30 evoluti+
   1656 dev-onb+  20   0 2670796  26932  22232 S   0.0   0.7   0:00.08 gjs
   1659 root      20   0  316604   9096   7688 S   0.0   0.2   0:00.09 upowerd
   1667 dev-onb+  20   0  388836  12252   7052 S   0.0   0.3   0:01.81 ibus-da+
   1670 dev-onb+  20   0  383516   6596   6084 S   0.0   0.2   0:00.02 gsd-a11+
   1673 dev-onb+  20   0  412960  19532  16588 S   0.0   0.5   0:00.12 gsd-col+
   1678 dev-onb+  20   0  431668  12256  10976 S   0.0   0.3   0:00.03 gsd-dat+
   1679 dev-onb+  20   0  458864   7956   7188 S   0.0   0.2   0:00.05 gsd-hou+
   1684 dev-onb+  20   0  411232  18268  15580 S   0.0   0.5   0:00.11 gsd-key+
   1685 dev-onb+  20   0  594100  24444  20860 S   0.0   0.6   0:00.18 gsd-med+
   1690 dev-onb+  20   0  449788  23372  19532 S   0.0   0.6   0:00.15 gsd-pow+
   1693 dev-onb+  20   0  546656  24240  20656 S   0.0   0.6   0:00.05 goa-dae+
   1694 dev-onb+  20   0  323628  11384   9976 S   0.0   0.3   0:00.03 gsd-pri+
   1695 dev-onb+  20   0  531084   6868   6228 S   0.0   0.2   0:00.02 gsd-rfk+
   1697 dev-onb+  20   0  309560   6100   5588 S   0.0   0.2   0:00.02 gsd-scr+
   1698 dev-onb+  20   0  543184  11568  10032 S   0.0   0.3   0:00.04 gsd-sha+
   1702 dev-onb+  20   0  385816   8260   7364 S   0.0   0.2   0:00.01 gsd-sma+
   1703 dev-onb+  20   0  393632   9680   8656 S   0.0   0.2   0:00.03 gsd-sou+
   1714 dev-onb+  20   0  485948  19196  15996 S   0.0   0.5   0:00.13 gsd-wac+
   1718 dev-onb+  20   0  305624   7404   6252 S   0.0   0.2   0:00.03 gsd-dis+
   1722 dev-onb+  20   0  823704  63364  49668 S   0.0   1.6   0:00.44 evoluti+
   1737 dev-onb+  20   0   39136  11860  10452 S   0.0   0.3   0:00.19 snapd-d+
   1799 dev-onb+  20   0  907116  24472  21144 S   0.0   0.6   0:00.15 evoluti+
   1831 dev-onb+  20   0  310460   7280   6640 S   0.0   0.2   0:00.01 ibus-dc+
   1845 dev-onb+  20   0  463040  11164   9372 S   0.0   0.3   0:00.18 gvfs-ud+
   1856 dev-onb+  20   0  420964  28656  17524 S   0.0   0.7   0:01.98 ibus-ex+
   1905 dev-onb+  20   0  310424   7216   6704 S   0.0   0.2   0:00.02 ibus-po+
   1947 dev-onb+  20   0  462856   9364   8340 S   0.0   0.2   0:00.03 goa-ide+
   1949 dev-onb+  20   0  429608  31000  22384 S   0.0   0.8   0:00.40 snapd-d+
   1961 dev-onb+  20   0  416236  14968  13048 S   0.0   0.4   0:00.02 gsd-pri+
   1979 dev-onb+  20   0  309792   6688   6176 S   0.0   0.2   0:00.03 gvfs-mt+
   1985 dev-onb+  20   0  751584  29992  26024 S   0.0   0.8   0:00.15 evoluti+
   1997 dev-onb+  20   0  309772   6484   5972 S   0.0   0.2   0:00.03 gvfs-go+
   2007 dev-onb+  20   0  389376   8088   7064 S   0.0   0.2   0:00.19 gvfs-af+
